 Dose [Gy]   Relative dose [%] Ratio of Total Structure Volume [%]
             53.1             95.1613                       100
             53.2             95.3405                       100
             53.3             95.5197                       100
             53.4             95.6989                       100
             53.5             95.8781                       100
             53.6             96.0573                   99.9973
             53.7             96.2366                   99.9635
             53.8             96.4158                   99.8408
             53.9              96.595                   99.6026
               54             96.7742                   99.1876
             54.1             96.9534                   98.6468
             54.2             97.1326                   97.9707
             54.3             97.3118                   97.1937
             54.4              97.491                   96.4216
             54.5             97.6703                    95.688
             54.6             97.8495                   94.9485
             54.7             98.0287                   94.1722
             54.8             98.2079                    93.326
             54.9             98.3871                   92.1118
               55             98.5663                   87.7321
             55.1             98.7455                   71.2813
             55.2             98.9247                   36.5006
             55.3             99.1039                    9.0828
             55.4             99.2832                   1.56703
             55.5             99.4624                  0.318561
             55.6             99.6416                 0.0246899
             55.7             99.8208               0.000643773
