5,62;1,78;5,30;1,74
5,63;1,79;5,31;1,75
5,65;1,80;5,33;1,75
5,67;1,81;5,35;1,76
5,69;1,81;5,37;1,77
5,70;1,82;5,38;1,78
5,72;1,83;5,40;1,79
5,74;1,84;5,42;1,79
5,76;1,85;5,44;1,80
5,77;1,85;5,45;1,81
5,79;1,86;5,47;1,82
5,81;1,88;5,49;1,83
5,83;1,89;5,51;1,84
5,84;1,90;5,52;1,85
5,86;1,91;5,54;1,87
5,88;1,92;5,56;1,88
5,90;1,93;5,58;1,89
5,92;1,95;5,60;1,90
5,93;1,96;5,61;1,91
5,95;1,97;5,63;1,92
5,97;1,97;5,65;1,93
5,99;1,98;5,67;1,93
6,00;1,98;5,68;1,94
6,02;1,99;5,70;1,94
6,04;1,99;5,72;1,95
6,06;2,00;5,74;1,95
6,07;2,00;5,75;1,96
6,09;2,01;5,77;1,96
6,11;2,01;5,79;1,97
6,13;2,02;5,81;1,97
6,14;2,02;5,82;1,97
6,16;2,02;5,84;1,97
6,18;2,01;5,86;1,97
6,20;2,01;5,88;1,96
6,21;2,01;5,89;1,96
6,23;2,01;5,91;1,96
6,25;2,01;5,93;1,96
6,27;2,00;5,95;1,96
6,28;2,00;5,96;1,95
6,30;2,00;5,98;1,95
6,32;2,00;6,00;1,95
6,34;2,00;6,02;1,95
6,36;2,00;6,04;1,95
6,37;2,00;6,05;1,95
6,39;2,00;6,07;1,95
6,41;2,00;6,09;1,95
6,43;2,00;6,11;1,95
6,44;2,00;6,12;1,95
6,46;2,00;6,14;1,95
6,48;2,00;6,16;1,95
6,50;2,00;6,18;1,95
6,51;2,00;6,19;1,95
6,53;2,00;6,21;1,95
6,55;2,00;6,23;1,95
6,57;2,00;6,25;1,95
6,58;2,00;6,26;1,95
6,60;2,00;6,28;1,95
6,62;2,00;6,30;1,95
6,64;2,00;6,32;1,95
6,65;2,00;6,33;1,95
6,67;2,00;6,35;1,95
6,69;2,00;6,37;1,95
6,71;2,00;6,39;1,95
6,73;2,00;6,41;1,95
6,74;2,00;6,42;1,96
6,76;2,00;6,44;1,96
6,78;2,00;6,46;1,96
6,80;2,00;6,48;1,96
6,81;2,00;6,49;1,96
6,83;2,00;6,51;1,96
6,85;2,00;6,53;1,96
6,87;2,00;6,55;1,96
6,88;2,00;6,56;1,96
6,90;2,00;6,58;1,96
6,92;2,00;6,60;1,95
